OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00088320,UN1,Urban: Nearer to a major town or city,Urban,83581
E00088321,UN1,Urban: Nearer to a major town or city,Urban,83582
E00088322,UN1,Urban: Nearer to a major town or city,Urban,83583
E00088324,RSN1,Smaller rural: Nearer to a major town or city,Rural,83584
E00088325,RSN1,Smaller rural: Nearer to a major town or city,Rural,83585
E00088326,RSN1,Smaller rural: Nearer to a major town or city,Rural,83586
E00088202,UN1,Urban: Nearer to a major town or city,Urban,83587
E00088203,UN1,Urban: Nearer to a major town or city,Urban,83588
E00088204,UN1,Urban: Nearer to a major town or city,Urban,83589
E00088205,UN1,Urban: Nearer to a major town or city,Urban,83590
E00088206,UN1,Urban: Nearer to a major town or city,Urban,83591
E00088207,UN1,Urban: Nearer to a major town or city,Urban,83592
E00088208,UN1,Urban: Nearer to a major town or city,Urban,83593
E00088210,UN1,Urban: Nearer to a major town or city,Urban,83594
E00088211,UN1,Urban: Nearer to a major town or city,Urban,83595
E00088212,UN1,Urban: Nearer to a major town or city,Urban,83596
E00088213,UN1,Urban: Nearer to a major town or city,Urban,83597
E00088214,UN1,Urban: Nearer to a major town or city,Urban,83598
E00088215,UN1,Urban: Nearer to a major town or city,Urban,83599
E00088216,UN1,Urban: Nearer to a major town or city,Urban,83600
E00088591,RLN1,Larger rural: Nearer to a major town or city,Rural,83601
E00088594,RLN1,Larger rural: Nearer to a major town or city,Rural,83602
E00088595,RLN1,Larger rural: Nearer to a major town or city,Rural,83603
E00088596,RLN1,Larger rural: Nearer to a major town or city,Rural,83604
E00088598,RLN1,Larger rural: Nearer to a major town or city,Rural,83605
E00088600,RLN1,Larger rural: Nearer to a major town or city,Rural,83606
E00088601,RLN1,Larger rural: Nearer to a major town or city,Rural,83607
E00088602,RLN1,Larger rural: Nearer to a major town or city,Rural,83608
E00088603,RLN1,Larger rural: Nearer to a major town or city,Rural,83609
E00088604,RSN1,Smaller rural: Nearer to a major town or city,Rural,83610
E00088605,RLN1,Larger rural: Nearer to a major town or city,Rural,83611
E00088606,RLN1,Larger rural: Nearer to a major town or city,Rural,83612
E00088608,RLN1,Larger rural: Nearer to a major town or city,Rural,83613
E00088609,RLN1,Larger rural: Nearer to a major town or city,Rural,83614
E00088610,RLN1,Larger rural: Nearer to a major town or city,Rural,83615
E00088611,UN1,Urban: Nearer to a major town or city,Urban,83616
E00088612,UN1,Urban: Nearer to a major town or city,Urban,83617
E00088613,UN1,Urban: Nearer to a major town or city,Urban,83618
E00088615,UN1,Urban: Nearer to a major town or city,Urban,83619
E00088616,UN1,Urban: Nearer to a major town or city,Urban,83620
